Date,Country,City,Specie,count,min,max,median,variance
12-02-2020,IN,Thrissur,co,24,0.2,12.1,5.9,152.59
26-05-2020,IN,Thrissur,co,72,1,21.5,12.9,403.39
06-01-2020,IN,Thrissur,co,24,1.6,13.4,7.5,139.56
21-02-2020,IN,Thrissur,co,24,2.8,18.4,7.1,278.54
03-03-2020,IN,Thrissur,co,8,2.6,6.7,5,22.86
23-03-2020,IN,Thrissur,co,24,1.5,7.2,2.8,21.59
28-03-2020,IN,Thrissur,co,43,0.4,12.5,3.7,165.95
05-04-2020,IN,Thrissur,co,72,1.5,12.2,7.5,111.82
12-04-2020,IN,Thrissur,co,64,1.9,12.7,8.4,147.67
26-04-2020,IN,Thrissur,co,45,0.9,10.9,8.7,165.48
17-01-2020,IN,Thrissur,co,24,1.7,13.4,9.2,186.62
03-02-2020,IN,Thrissur,co,24,3,7.4,5.4,20.01
08-02-2020,IN,Thrissur,co,24,0.6,7.5,5.5,46.73
25-02-2020,IN,Thrissur,co,23,1.1,8.5,5.7,46.24
29-02-2020,IN,Thrissur,co,24,2,7.6,4.9,18.53
06-03-2020,IN,Thrissur,co,24,0.8,8.4,4,32.47
20-03-2020,IN,Thrissur,co,23,0.1,3.8,2.5,7.97
17-04-2020,IN,Thrissur,co,72,1.3,14,8.9,152.91
05-06-2020,IN,Thrissur,co,72,0.7,26.8,14.1,532.05
10-06-2020,IN,Thrissur,co,70,0.2,27.6,15.2,560.86
07-07-2020,IN,Thrissur,co,59,2.2,27.8,13.5,545.62
31-01-2020,IN,Thrissur,co,22,0.1,10.2,5.8,59.21
10-03-2020,IN,Thrissur,co,24,2.4,6.1,4.2,13
16-03-2020,IN,Thrissur,co,21,1,5.1,3.3,11.98
12-06-2020,IN,Thrissur,co,72,1.8,38.5,14.8,1063.92
10-02-2020,IN,Thrissur,co,24,0.5,8.8,4.8,61.9
23-04-2020,IN,Thrissur,co,70,2.5,14.4,9.4,120.53
30-04-2020,IN,Thrissur,co,70,0.9,16.4,10,316.99
02-06-2020,IN,Thrissur,co,71,0.1,20.9,12.3,337.08
18-01-2020,IN,Thrissur,co,24,1.8,18.1,10.1,244.77
28-04-2020,IN,Thrissur,co,48,1.5,10.2,7.5,95.65
19-05-2020,IN,Thrissur,co,67,1,27.5,12.6,637.16
29-06-2020,IN,Thrissur,co,72,2.1,26.1,14.6,632.13
01-07-2020,IN,Thrissur,co,72,1.9,23.2,15.7,586.04
16-07-2020,IN,Thrissur,co,72,1.7,23.4,14.2,457.1
05-01-2020,IN,Thrissur,co,24,5.6,11.5,8.7,35.79
02-02-2020,IN,Thrissur,co,24,1.8,8.2,5.2,37.23
17-02-2020,IN,Thrissur,co,24,2.8,8.2,5.5,20.05
07-04-2020,IN,Thrissur,co,72,2.3,13.6,8.1,131.11
21-06-2020,IN,Thrissur,co,68,0.1,21.3,12.3,424.09
13-01-2020,IN,Thrissur,co,24,4.5,11.7,8.9,53.85
16-01-2020,IN,Thrissur,co,24,3.9,13.4,10.1,88.48
20-01-2020,IN,Thrissur,co,21,0.4,10.6,5.1,105.15
23-02-2020,IN,Thrissur,co,24,3,8.9,5.4,25.96
02-04-2020,IN,Thrissur,co,65,1.3,13.4,7.9,143.11
09-05-2020,IN,Thrissur,co,72,1.4,18.7,11.8,337.07
05-07-2020,IN,Thrissur,co,72,0.9,18.6,13,418.12
30-01-2020,IN,Thrissur,co,23,0.1,11.1,6.4,74.2
15-02-2020,IN,Thrissur,co,24,1.5,14.1,4.4,169.04
06-05-2020,IN,Thrissur,co,50,0.8,20,10.8,477.36
20-05-2020,IN,Thrissur,co,60,0.2,22.2,12,482.17
13-06-2020,IN,Thrissur,co,72,0.3,30.3,15,671.3
15-06-2020,IN,Thrissur,co,52,0.6,25.5,13,543.17
16-06-2020,IN,Thrissur,co,60,0.5,24.1,13.4,489.54
02-01-2020,IN,Thrissur,co,24,1.4,12.8,7.9,154.37
02-03-2020,IN,Thrissur,co,13,2,6.4,4.9,13.36
03-04-2020,IN,Thrissur,co,61,0.6,13.3,7.7,171
08-04-2020,IN,Thrissur,co,71,0.1,14.4,8.4,158.03
28-01-2020,IN,Thrissur,co,23,0.2,11.1,7.6,103.37
11-02-2020,IN,Thrissur,co,24,0.8,11.7,5.6,105.89
08-05-2020,IN,Thrissur,co,72,1.5,18.3,11.5,291.18
03-01-2020,IN,Thrissur,co,24,3.2,16.7,8.6,176.06
23-01-2020,IN,Thrissur,co,24,2.4,10.8,6,52.89
01-02-2020,IN,Thrissur,co,24,0.9,10.8,5.4,70.57
26-02-2020,IN,Thrissur,co,24,2.6,13.1,4.9,77.78
05-03-2020,IN,Thrissur,co,23,0.1,8.5,5.4,37.12
31-03-2020,IN,Thrissur,co,72,1.7,12.4,7.1,117.42
18-04-2020,IN,Thrissur,co,72,1.8,14.1,8.6,174.73
16-05-2020,IN,Thrissur,co,43,0.7,23.9,12.2,393.61
01-06-2020,IN,Thrissur,co,72,1.4,24.5,11.7,345.16
07-01-2020,IN,Thrissur,co,24,2.8,13.4,8.7,134.24
18-02-2020,IN,Thrissur,co,24,4,9.6,5.7,18.93
26-03-2020,IN,Thrissur,co,24,0.6,5.1,3.3,17.98
06-04-2020,IN,Thrissur,co,72,1.7,12.3,7.8,101.51
25-05-2020,IN,Thrissur,co,72,1.1,20,13.2,386.24
31-05-2020,IN,Thrissur,co,72,0.9,15.3,11.2,249.79
02-07-2020,IN,Thrissur,co,72,1.9,30.4,15.6,765.22
20-02-2020,IN,Thrissur,co,24,2.2,10.6,5.9,44.27
18-03-2020,IN,Thrissur,co,23,0.1,4.8,2.8,17.26
22-03-2020,IN,Thrissur,co,24,0.5,5.4,3,20.99
14-04-2020,IN,Thrissur,co,49,1.3,14.4,9.3,275.65
06-06-2020,IN,Thrissur,co,57,0.5,32.8,14.7,492.95
19-06-2020,IN,Thrissur,co,59,1.4,29.5,14.4,767.49
20-06-2020,IN,Thrissur,co,62,1.4,26.4,13.8,658.92
28-06-2020,IN,Thrissur,co,72,2.3,23.7,13.1,486.91
16-02-2020,IN,Thrissur,co,24,3.2,7.8,6.1,13.62
14-03-2020,IN,Thrissur,co,24,0.1,6.6,3.1,29.16
25-04-2020,IN,Thrissur,co,54,1.2,11.9,9.2,135.39
02-05-2020,IN,Thrissur,co,64,0.7,17.3,9.7,267.8
21-05-2020,IN,Thrissur,co,71,1.4,18.4,11.5,320.28
29-05-2020,IN,Thrissur,co,72,0.6,26,12.9,488.59
30-06-2020,IN,Thrissur,co,72,2.6,26.4,14.5,655.86
15-07-2020,IN,Thrissur,co,72,1.2,21.5,14.1,447.52
19-07-2020,IN,Thrissur,co,39,2.1,17.6,13,384.41
01-01-2020,IN,Thrissur,co,24,3.7,15.8,10.3,166.51
10-01-2020,IN,Thrissur,co,24,4.4,17.1,9.6,147.16
22-01-2020,IN,Thrissur,co,24,0.8,9,3.7,68.62
29-01-2020,IN,Thrissur,co,23,0.3,10.3,6.8,75.43
15-03-2020,IN,Thrissur,co,20,0.5,6.3,3.5,21.66
19-03-2020,IN,Thrissur,co,24,0.8,7.1,2.6,27.02
27-03-2020,IN,Thrissur,co,25,0.5,11.1,3.4,39.52
24-04-2020,IN,Thrissur,co,67,1.4,12.2,9.2,126.02
03-06-2020,IN,Thrissur,co,72,0.1,18.4,12.8,328.09
09-06-2020,IN,Thrissur,co,72,0.3,30,16.6,636.82
22-06-2020,IN,Thrissur,co,48,11.4,28.1,17.7,319.4
03-07-2020,IN,Thrissur,co,66,2.3,25.4,14.5,554.14
04-07-2020,IN,Thrissur,co,58,1.5,21.9,14.3,519.03
18-07-2020,IN,Thrissur,co,72,1.8,24.6,14.5,574.38
30-12-2019,IN,Thrissur,co,24,5.1,11.6,8.2,39.51
05-02-2020,IN,Thrissur,co,24,2.9,10.1,6.6,50.73
16-04-2020,IN,Thrissur,co,72,2.2,12.9,8.9,136.09
13-05-2020,IN,Thrissur,co,67,1,21.1,11.7,369.9
27-06-2020,IN,Thrissur,co,72,0.8,28.4,14.4,680.65
01-01-2020,IN,Hyderabad,co,98,2.6,12.8,5.7,68.53
31-03-2020,IN,Hyderabad,co,117,2.3,7.7,4.5,9.8
12-05-2020,IN,Hyderabad,co,110,0.1,16,4,75.57
20-06-2020,IN,Hyderabad,co,120,0.2,9.3,2.2,21.97
08-07-2020,IN,Hyderabad,co,110,0.3,9.2,2.1,10.94
19-01-2020,IN,Hyderabad,co,48,1.5,12.3,4.7,70.45
25-02-2020,IN,Hyderabad,co,72,1.9,12.6,4.7,41.08
07-03-2020,IN,Hyderabad,co,95,0.4,14.2,4.6,80.14
27-03-2020,IN,Hyderabad,co,108,0.8,6.4,3.4,12.68
21-06-2020,IN,Hyderabad,co,103,0.1,8.7,2.2,18.27
02-06-2020,IN,Hyderabad,co,117,0.1,8.2,3.1,22.19
06-01-2020,IN,Hyderabad,co,103,0.1,59.2,5.3,701.77
13-02-2020,IN,Hyderabad,co,96,1.5,18.7,5.7,138.47
29-02-2020,IN,Hyderabad,co,86,0.5,26.6,5,207.29
03-03-2020,IN,Hyderabad,co,28,2.5,17,6.4,156.85
19-03-2020,IN,Hyderabad,co,120,1.5,15.8,5.6,92.75
05-04-2020,IN,Hyderabad,co,96,0.5,6.5,3.8,14.04
06-05-2020,IN,Hyderabad,co,116,0.1,20,3.7,115.91
11-06-2020,IN,Hyderabad,co,108,0.1,7.1,2.5,15
15-06-2020,IN,Hyderabad,co,120,0.6,8.6,2.4,11.04
14-07-2020,IN,Hyderabad,co,85,0.1,10.7,2.8,31.68
16-03-2020,IN,Hyderabad,co,114,0.6,18.1,4.4,111.49
30-04-2020,IN,Hyderabad,co,120,0.4,56.5,3.7,471.88
24-06-2020,IN,Hyderabad,co,96,0.2,11.9,2.8,30
03-07-2020,IN,Hyderabad,co,106,0.1,8.9,2.2,14.5
23-01-2020,IN,Hyderabad,co,96,0.4,15.5,5.9,107.44
02-02-2020,IN,Hyderabad,co,70,1.8,12.3,4.7,54.69
12-03-2020,IN,Hyderabad,co,120,1.6,16.2,4.7,78.71
28-04-2020,IN,Hyderabad,co,105,0.1,8.4,3.5,29.94
13-06-2020,IN,Hyderabad,co,119,0.2,8.2,2.5,13.13
26-06-2020,IN,Hyderabad,co,113,0.2,15.6,2.9,53.92
13-04-2020,IN,Hyderabad,co,117,0.1,19.7,3.1,85.09
17-01-2020,IN,Hyderabad,co,72,0.2,12.2,4.9,90.62
15-02-2020,IN,Hyderabad,co,87,0.3,24.2,8.9,306.98
27-02-2020,IN,Hyderabad,co,72,0.5,10.8,4.6,41.36
02-03-2020,IN,Hyderabad,co,96,0.3,16.2,5.2,133.49
18-03-2020,IN,Hyderabad,co,106,0.5,14,4.8,117.75
03-04-2020,IN,Hyderabad,co,94,1.3,10,4.2,41.14
04-04-2020,IN,Hyderabad,co,96,0.4,10.2,4.4,39.86
22-04-2020,IN,Hyderabad,co,120,0.5,8.7,3,30.98
03-06-2020,IN,Hyderabad,co,120,0.5,11.1,2.9,28.29
08-06-2020,IN,Hyderabad,co,96,0.1,7.3,2.4,17.99
10-01-2020,IN,Hyderabad,co,96,2.2,12,5.3,41.02
24-02-2020,IN,Hyderabad,co,72,1.3,13,5.4,61.77
15-03-2020,IN,Hyderabad,co,120,0.3,12.8,4,48.21
21-05-2020,IN,Hyderabad,co,105,0.1,11.4,3.4,50.75
22-05-2020,IN,Hyderabad,co,111,0.1,37.3,5.3,366.19
18-07-2020,IN,Hyderabad,co,117,0.1,9.1,2.3,25.7
16-07-2020,IN,Hyderabad,co,119,0.1,10.6,2,16.29
31-01-2020,IN,Hyderabad,co,70,0.4,12.6,4.7,66.34
08-03-2020,IN,Hyderabad,co,96,0.9,14.7,4.5,73.25
26-03-2020,IN,Hyderabad,co,118,0.4,8.3,3.3,18.88
29-04-2020,IN,Hyderabad,co,114,0.7,7.6,3.4,31.11
14-05-2020,IN,Hyderabad,co,104,0.4,9.7,3.1,20.02
16-05-2020,IN,Hyderabad,co,120,0.4,12.6,4,36.07
19-05-2020,IN,Hyderabad,co,119,0.2,13.9,4.7,56.93
03-05-2020,IN,Hyderabad,co,120,0.5,9.4,3.9,34.64
11-05-2020,IN,Hyderabad,co,101,0.2,16.8,4.4,114.15
20-05-2020,IN,Hyderabad,co,120,0.1,13.1,3.3,64.58
05-06-2020,IN,Hyderabad,co,117,0.1,10.7,2.7,19.64
14-06-2020,IN,Hyderabad,co,120,0.1,8.3,2.3,10.23
16-06-2020,IN,Hyderabad,co,118,0.2,8.6,2.4,17.32
27-06-2020,IN,Hyderabad,co,114,0.1,15.5,3,47.46
14-01-2020,IN,Hyderabad,co,48,2.4,11.8,7.4,54.97
22-02-2020,IN,Hyderabad,co,68,0.9,9,4,34.77
06-03-2020,IN,Hyderabad,co,96,0.2,14.1,4.3,72.67
02-01-2020,IN,Hyderabad,co,107,0.8,15,4.6,101.98
07-01-2020,IN,Hyderabad,co,97,1.7,26,5.7,103.54
10-06-2020,IN,Hyderabad,co,104,0.3,7.6,2.8,12.08
22-01-2020,IN,Hyderabad,co,87,1.1,18.5,4.9,111.31
12-02-2020,IN,Hyderabad,co,96,1.2,22.6,5.3,177.18
04-03-2020,IN,Hyderabad,co,94,0.8,15.3,5.5,110.76
15-05-2020,IN,Hyderabad,co,107,0.1,12.5,2.9,32.8
24-01-2020,IN,Hyderabad,co,96,0.9,17.3,6.4,126.36
25-03-2020,IN,Hyderabad,co,120,0.3,10.3,3.5,20.89
27-04-2020,IN,Hyderabad,co,120,0.1,9.4,3.6,28.63
09-07-2020,IN,Hyderabad,co,108,0.1,11,2.3,22.34
30-01-2020,IN,Hyderabad,co,68,0.4,14.8,6.2,71.71
01-02-2020,IN,Hyderabad,co,74,0.6,9.9,4.6,35.44
11-02-2020,IN,Hyderabad,co,96,1.6,19,4.9,103.14
14-02-2020,IN,Hyderabad,co,96,0.4,24.4,9.3,343.35
08-04-2020,IN,Hyderabad,co,73,0.2,7.9,3.5,22.93
23-04-2020,IN,Hyderabad,co,118,0.8,10.4,3.4,41.04
27-05-2020,IN,Hyderabad,co,109,0.5,7.5,3.8,18.23
10-07-2020,IN,Hyderabad,co,120,0.2,8.9,1.9,16.24
03-01-2020,IN,Hyderabad,co,111,0.3,12.5,5,78.1
29-01-2020,IN,Hyderabad,co,86,1.1,13,5.8,105.74
19-02-2020,IN,Hyderabad,co,82,2.2,25,6.1,128.38
11-03-2020,IN,Hyderabad,co,104,2.1,13.4,4.5,56.58
22-03-2020,IN,Hyderabad,co,117,0.1,10.3,3.9,39.79
17-04-2020,IN,Hyderabad,co,118,0.3,11.5,4,47.74
12-06-2020,IN,Hyderabad,co,118,0.1,7.1,2.4,19.5
22-06-2020,IN,Hyderabad,co,109,0.2,12.7,1.9,29.13
04-01-2020,IN,Hyderabad,co,120,1.9,14.6,5.4,77.88
15-01-2020,IN,Hyderabad,co,48,1.8,9.7,5.3,44.51
26-01-2020,IN,Hyderabad,co,72,1.3,18.1,7.1,137.73
08-02-2020,IN,Hyderabad,co,96,2.1,12.7,4.5,50.62
21-03-2020,IN,Hyderabad,co,118,0.1,18.2,4.7,86.94
02-04-2020,IN,Hyderabad,co,95,2,8.6,4.3,26.41
17-05-2020,IN,Hyderabad,co,117,0.2,9.3,4.4,29.7
29-06-2020,IN,Hyderabad,co,113,0.2,10.3,3,39.03
09-05-2020,IN,Hyderabad,co,115,0.1,11.2,2.9,41.66
08-01-2020,IN,Hyderabad,co,96,0.3,19.6,4.1,105.97
16-02-2020,IN,Hyderabad,co,72,1.1,14.1,5.5,97.88
20-02-2020,IN,Hyderabad,co,72,1.5,9.7,4.5,23.1
14-03-2020,IN,Hyderabad,co,120,1.6,15.9,4.3,64.2
30-03-2020,IN,Hyderabad,co,116,1.3,6.4,3.8,10.48
14-04-2020,IN,Hyderabad,co,105,0.5,7.4,3.4,24.84
15-04-2020,IN,Hyderabad,co,118,0.2,7.9,3.5,24.94
25-06-2020,IN,Hyderabad,co,109,0.1,8.1,3.1,23.44
12-07-2020,IN,Hyderabad,co,116,0.1,8.3,2.1,22.29
05-01-2020,IN,Hyderabad,co,110,0.2,37.9,4.8,149.04
05-02-2020,IN,Hyderabad,co,71,1.4,12,4.7,62.36
21-02-2020,IN,Hyderabad,co,72,1.4,7.9,3.7,19.45
09-03-2020,IN,Hyderabad,co,96,1.9,17,4.8,89.21
09-04-2020,IN,Hyderabad,co,85,1.4,9,4.3,21.01
04-06-2020,IN,Hyderabad,co,117,0.2,9.1,2.2,22.58
06-07-2020,IN,Hyderabad,co,120,0.3,9.2,2.3,18.53
18-01-2020,IN,Hyderabad,co,67,1,14.8,4.7,111.43
20-01-2020,IN,Hyderabad,co,62,1.7,12.3,5.2,65.4
06-02-2020,IN,Hyderabad,co,82,0.2,11.4,4,65.7
01-05-2020,IN,Hyderabad,co,118,0.2,13.2,4.5,86.75
05-05-2020,IN,Hyderabad,co,115,0.1,8.9,3.7,21.47
09-06-2020,IN,Hyderabad,co,93,0.5,9.7,2.4,16.89
30-12-2019,IN,Hyderabad,co,85,2,44.2,6.7,318.12
17-02-2020,IN,Hyderabad,co,80,0.5,18.8,6.4,134.3
05-03-2020,IN,Hyderabad,co,96,0.6,18,6.5,113.76
10-03-2020,IN,Hyderabad,co,96,0.8,10.6,4.4,46.88
10-05-2020,IN,Hyderabad,co,100,0.2,19.5,3.6,93.7
05-07-2020,IN,Hyderabad,co,119,0.6,8.8,2,8.89
18-02-2020,IN,Hyderabad,co,94,0.8,22.7,5.1,190.8
07-06-2020,IN,Hyderabad,co,95,0.5,9.1,2.4,18.44
13-07-2020,IN,Hyderabad,co,119,0.7,18.4,2.8,129.21
17-03-2020,IN,Hyderabad,co,99,0.1,11.7,4.1,61.4
24-05-2020,IN,Hyderabad,co,120,1.8,9.5,4.3,25.15
06-04-2020,IN,Hyderabad,co,96,0.1,9.5,4.3,28
26-04-2020,IN,Hyderabad,co,119,0.1,7.2,3.5,21.13
25-05-2020,IN,Hyderabad,co,119,0.4,8.8,3.8,17.79
26-05-2020,IN,Hyderabad,co,107,1.1,9.1,4,26.88
13-01-2020,IN,Hyderabad,co,52,2.3,17.2,6.8,139.5
23-02-2020,IN,Hyderabad,co,72,1.3,9.3,4.3,44.03
26-02-2020,IN,Hyderabad,co,69,1.8,13.8,5.1,63.27
28-03-2020,IN,Hyderabad,co,110,0.4,5.9,3.3,16.91
16-04-2020,IN,Hyderabad,co,116,0.6,9.7,4.1,20.19
20-04-2020,IN,Hyderabad,co,120,0.2,8.1,3.1,28.81
08-05-2020,IN,Hyderabad,co,120,0.6,11.3,3.3,50.07
11-01-2020,IN,Hyderabad,co,79,2.7,18.1,6.2,137.46
12-01-2020,IN,Hyderabad,co,48,0.7,15.4,6.9,116.68
24-03-2020,IN,Hyderabad,co,120,0.3,12,3.3,32.8
07-04-2020,IN,Hyderabad,co,87,0.1,10.5,4,38.12
31-05-2020,IN,Hyderabad,co,119,0.6,10.7,3.8,34.84
02-07-2020,IN,Hyderabad,co,120,0.1,8.5,2.2,14.32
04-07-2020,IN,Hyderabad,co,115,0.1,7.6,2.2,15.81
01-06-2020,IN,Hyderabad,co,120,0.1,11.2,4.2,59.62
27-01-2020,IN,Hyderabad,co,86,1,11.6,6,79.69
28-01-2020,IN,Hyderabad,co,96,0.9,11.5,4.7,52.26
01-04-2020,IN,Hyderabad,co,102,0.9,14.2,4.5,35.38
18-04-2020,IN,Hyderabad,co,103,0.1,26.2,4,96.17
02-05-2020,IN,Hyderabad,co,103,0.1,10.8,4.7,40.32
07-05-2020,IN,Hyderabad,co,116,0.1,8.7,3.4,25.7
30-05-2020,IN,Hyderabad,co,115,0.1,6.1,3.1,12.09
23-06-2020,IN,Hyderabad,co,107,0.1,8.9,2.4,29.66
28-06-2020,IN,Hyderabad,co,108,0.1,11.5,3,47.69
15-07-2020,IN,Hyderabad,co,103,0.3,9.6,2.4,18.47
17-07-2020,IN,Hyderabad,co,116,0.1,11.7,2.2,19.34
01-07-2020,IN,Hyderabad,co,119,0.1,7.8,2.1,16.13
25-01-2020,IN,Hyderabad,co,87,0.7,16,7.5,161.54
04-02-2020,IN,Hyderabad,co,74,1.9,18.7,4.1,132.54
07-02-2020,IN,Hyderabad,co,96,1,10.5,4,44.89
04-05-2020,IN,Hyderabad,co,120,1,8.1,3.7,16.36
28-05-2020,IN,Hyderabad,co,101,1,10.3,3.4,23.57
29-05-2020,IN,Hyderabad,co,108,0.3,8.6,2.9,26.44
30-06-2020,IN,Hyderabad,co,120,0.1,9.2,2.9,21.11
07-07-2020,IN,Hyderabad,co,119,0.4,9.3,2.1,11.86
21-01-2020,IN,Hyderabad,co,81,1.2,14.3,4.8,88.51
12-04-2020,IN,Hyderabad,co,119,0.3,19.8,3.1,47.08
21-04-2020,IN,Hyderabad,co,117,0.4,10.7,4.5,52.04
18-05-2020,IN,Hyderabad,co,120,0.7,10.7,3.8,22.52
28-02-2020,IN,Hyderabad,co,72,1.5,9.2,4.9,34.95
01-03-2020,IN,Hyderabad,co,96,0.6,20.1,5.6,126.45
13-03-2020,IN,Hyderabad,co,120,0.3,10.6,4,46.72
25-04-2020,IN,Hyderabad,co,118,0.1,12.8,3.7,49.7
23-05-2020,IN,Hyderabad,co,120,0.9,15.2,4.7,88.96
11-07-2020,IN,Hyderabad,co,119,0.3,15,2.2,50.22
31-12-2019,IN,Hyderabad,co,106,1.9,14.7,5.9,90
09-01-2020,IN,Hyderabad,co,96,1.4,31.8,4.7,174.87
